World Economic Forum promoot plan om zonlicht te blokkeren met ‘ruimtebellen’: ‘Volstrekt gestoord’,200,17.286
NOS-journalist verspreidt nepnieuws over meisje dat ‘gewond raakte bij Russische raketaanval’,73,13.723
"Artsen die off-label coronamedicatie voorschrijven, worden behandeld als criminelen en krijgen hoge boetes",83,9.807
"Fraude bij Tweede Kamerverkiezingen bewezen, rechter neemt zelfs het woord ‘ondemocratisch’ in de mond",113,26.970
Jamila (44) neemt afscheid van de politie: ‘Ik ben het disproportioneel geweld jegens burgers helemaal zat’,98,17.418
Bekende spoedarts overlijdt plotseling tijdens het hardlopen: ‘Niets te zien hier’,80,16.489
Sigrid ‘we worden samen een stukje armer’ Kaag maakt miljoenen over naar Oeganda,158,14.719
"‘Wow, fascinerend die schaamteloze klimaatpropaganda bij de NOS’",139,14.412
Keiharde uithaal naar Trudeau: ‘Canada is communistisch en wordt geleid door een dictator’,98,12.772
Britse journalist reist af naar Oekraïne en is geschokt: ‘Hier hoor je in het Westen niets over’,90,20.478
"Nijmeegs ziekenhuis bomvol wegens onverklaarbaar veel spoedopnames, hoe kan dat?",147,18.529
Renner doet boekje open over ‘vreemde’ Tour de France: ‘Veel jongens hebben last van ademhalingsproblemen’,147,17.128
Wob-stukken onthullen: geen enkele coronamaatregel was wetenschappelijk onderbouwd,174,15.540
Voor wie zich verbaast over urenlange rijen: Schiphol is bezig met ‘building back better’,136,19.197
De toegang tot Big Tech-diensten wordt je ontnomen,67,27.167
‘Schokkende onthullingen’ rond Oekraïens vrachtvliegtuig met munitie dat is neergestort in Griekenland,49,19.086
Oekraïense vicepremier pleit voor cashloze samenleving in 2030: ‘Wat een toeval weer’,94,9.304
Duitse journalist onthult wat er met onze wapens gebeurt in Oekraïne,70,14.462
Overheid houdt zich niet aan de eigen wet en betaalt liever van ons geld een dwangsom: ‘Onvoorstelbaar’,140,12.465
Wat je nog niet wist (maar wel zou moeten weten) over Schwab en zijn World Economic Forum,122,19.844
"Rechtspraak zat aan tafel bij bespreking coronamaatregelen: ‘Werkelijk ongehoord, dit is een smoking gun’",131,16.579
Bij bijna 50% vrouwen heeft coronavaccin invloed op menstruatie: ‘Dit was toch een complottheorie?’,55,11.315
Rusland maakt nazi-bataljon dat ‘dood en verderf zaait’ in Oost-Oekraïne onschadelijk,63,15.227
Een heel legioen aan mensen met een verwoest brein: schokkende cijfers uit Scandinavië,55,21.308
